Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts Total,Social Insurance and Retirement Receipts On - Budget,Social Insurance and Retirement Receipts Off - Budget,Excise Taxes,Other,Total Receipts Total,Total Receipts On - Budget,Total Receipts Off - Budget
1934,420.0,364.0,30.0,30.0,..........,1354.0,788.0,2955.0,2955.0,..........
1935,527.0,529.0,31.0,31.0,..........,1439.0,1084.0,3609.0,3609.0,..........
1936,674.0,719.0,52.0,52.0,..........,1631.0,847.0,3923.0,3923.0,..........
1937,1092.0,1038.0,580.0,315.0,265,1876.0,801.0,5387.0,5122.0,265
1938,1286.0,1287.0,1541.0,1154.0,387,1863.0,773.0,6751.0,6364.0,387
1939,1029.0,1127.0,1593.0,1090.0,503,1871.0,675.0,6295.0,5792.0,503
1940,892.0,1197.0,1785.0,1235.0,550,1977.0,698.0,6548.0,5998.0,550
1941,1314.0,2124.0,1940.0,1252.0,688,2552.0,781.0,8712.0,8024.0,688
1942,3263.0,4719.0,2452.0,1557.0,896,3399.0,801.0,14634.0,13738.0,896
1943,6505.0,9557.0,3044.0,1913.0,1130,4096.0,800.0,24001.0,22871.0,1130
1944,19705.0,14838.0,3473.0,2181.0,1292,4759.0,972.0,43747.0,42455.0,1292
1945,18372.0,15988.0,3451.0,2141.0,1310,6265.0,1083.0,45159.0,43849.0,1310
1946,16098.0,11883.0,3115.0,1877.0,1238,6998.0,1202.0,39296.0,38057.0,1238
1947,17935.0,8615.0,3422.0,1963.0,1459,7211.0,1331.0,38514.0,37055.0,1459
1948,19315.0,9678.0,3751.0,2134.0,1616,7356.0,1461.0,41560.0,39944.0,1616
1949,15552.0,11192.0,3781.0,2091.0,1690,7502.0,1388.0,39415.0,37724.0,1690
1950,15755.0,10449.0,4338.0,2232.0,2106,7550.0,1351.0,39443.0,37336.0,2106
1951,21616.0,14101.0,5674.0,2554.0,3120,8648.0,1578.0,51616.0,48496.0,3120
1952,27934.0,21226.0,6445.0,2851.0,3594,8852.0,1710.0,66167.0,62573.0,3594
1953,29816.0,21238.0,6820.0,2723.0,4097,9877.0,1857.0,69608.0,65511.0,4097
1954,29542.0,21101.0,7208.0,2619.0,4589,9945.0,1905.0,69701.0,65112.0,4589
1955,28747.0,17861.0,7862.0,2781.0,5081,9131.0,1850.0,65451.0,60370.0,5081
1956,32188.0,20880.0,9320.0,2896.0,6425,9929.0,2270.0,74587.0,68162.0,6425
1957,35620.0,21167.0,9997.0,3208.0,6789,10534.0,2672.0,79990.0,73201.0,6789
1958,34724.0,20074.0,11239.0,3190.0,8049,10638.0,2961.0,79636.0,71587.0,8049
1959,36719.0,17309.0,11722.0,3427.0,8296,10578.0,2921.0,79249.0,70953.0,8296
1960,40715.0,21494.0,14683.0,4042.0,10641,11676.0,3923.0,92492.0,81851.0,10641
1961,41338.0,20954.0,16439.0,4331.0,12109,11860.0,3796.0,94388.0,82279.0,12109
1962,45571.0,20523.0,17046.0,4776.0,12271,12534.0,4001.0,99676.0,87405.0,12271
1963,47588.0,21579.0,19804.0,5629.0,14175,13194.0,4395.0,106560.0,92385.0,14175
1964,48697.0,23493.0,21963.0,5597.0,16366,13731.0,4731.0,112613.0,96248.0,16366
1965,48792.0,25461.0,22242.0,5519.0,16723,14570.0,5753.0,116817.0,100094.0,16723
1966,55446.0,30073.0,25546.0,6460.0,19085,13062.0,6708.0,130835.0,111749.0,19085
1967,61526.0,33971.0,32619.0,8217.0,24401,13719.0,6987.0,148822.0,124420.0,24401
1968,68726.0,28665.0,33923.0,9007.0,24917,14079.0,7580.0,152973.0,128056.0,24917
1969,87249.0,36678.0,39015.0,10062.0,28953,15222.0,8718.0,186882.0,157928.0,28953
1970,90412.0,32829.0,44362.0,10903.0,33459,15705.0,9499.0,192807.0,159348.0,33459
1971,86230.0,26785.0,47325.0,11481.0,35845,16614.0,10185.0,187139.0,151294.0,35845
1972,94737.0,32166.0,52574.0,12667.0,39907,15477.0,12355.0,207309.0,167402.0,39907
1973,103246.0,36153.0,63115.0,17031.0,46084,16260.0,12026.0,230799.0,184715.0,46084
1974,118952.0,38620.0,75071.0,21146.0,53925,16844.0,13737.0,263224.0,209299.0,53925
1975,122386.0,40621.0,84534.0,22077.0,62458,16551.0,14998.0,279090.0,216633.0,62458
1976,131603.0,41409.0,90769.0,24381.0,66389,16963.0,17317.0,298060.0,231671.0,66389
1977,157626.0,54892.0,106485.0,29668.0,76817,17548.0,19008.0,355559.0,278741.0,76817
1978,180988.0,59952.0,120967.0,35576.0,85391,18376.0,19278.0,399561.0,314169.0,85391
1979,217841.0,65677.0,138939.0,40945.0,97994,18745.0,22101.0,463302.0,365309.0,97994
1980,244069.0,64600.0,157803.0,44594.0,113209,24329.0,26311.0,517112.0,403903.0,113209
1981,285917.0,61137.0,182720.0,52545.0,130176,40839.0,28659.0,599272.0,469097.0,130176
1982,297744.0,49207.0,201498.0,58031.0,143467,36311.0,33006.0,617766.0,474299.0,143467
1983,288938.0,37022.0,208994.0,61674.0,147320,35300.0,30309.0,600562.0,453242.0,147320
1984,298415.0,56893.0,239376.0,73301.0,166075,37361.0,34392.0,666438.0,500363.0,166075
1985,334531.0,61331.0,265163.0,78992.0,186170,35992.0,37020.0,734037.0,547866.0,186170
1986,348959.0,63143.0,283901.0,83673.0,200228,32919.0,40233.0,769155.0,568927.0,200228
1987,392557.0,83926.0,303318.0,89916.0,213401,32457.0,42029.0,854287.0,640886.0,213401
1988,401181.0,94508.0,334335.0,92845.0,241491,35227.0,43987.0,909238.0,667747.0,241491
1989,445690.0,103291.0,359416.0,95751.0,263665,34386.0,48321.0,991104.0,727439.0,263665
1990,466884.0,93507.0,380047.0,98392.0,281655,35345.0,56174.0,1031958.0,750302.0,281655
1991,467827.0,98086.0,396015.0,102131.0,293884,42402.0,50657.0,1054988.0,761103.0,293884
1992,475964.0,100270.0,413688.0,111263.0,302426,45569.0,55717.0,1091208.0,788783.0,302426
1993,509680.0,117520.0,428299.0,116366.0,311934,48057.0,50778.0,1154334.0,842401.0,311934
1994,543055.0,140385.0,461475.0,126450.0,335026,55225.0,58427.0,1258566.0,923541.0,335026
1995,590244.0,157004.0,484473.0,133394.0,351079,57484.0,62585.0,1351790.0,1000711.0,351079
1996,656417.0,171824.0,509414.0,141922.0,367492,54014.0,61384.0,1453053.0,1085561.0,367492
1997,737466.0,182293.0,539371.0,147381.0,391990,56924.0,63178.0,1579232.0,1187242.0,391990
1998,828586.0,188677.0,571831.0,156032.0,415799,57673.0,74961.0,1721728.0,1305929.0,415799
1999,879480.0,184680.0,611833.0,167365.0,444468,70414.0,81045.0,1827452.0,1382984.0,444468
2000,1004462.0,207289.0,652852.0,172268.0,480584,68865.0,91723.0,2025191.0,1544607.0,480584
2001,994339.0,151075.0,693967.0,186448.0,507519,66232.0,85469.0,1991082.0,1483563.0,507519
2002,858345.0,148044.0,700760.0,185439.0,515321,66989.0,78998.0,1853136.0,1337815.0,515321
