Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts Total,Social Insurance and Retirement Receipts On - Budget,Social Insurance and Retirement Receipts Off - Budget,Excise Taxes,Other,Total Receipts Total,Total Receipts On - Budget,Total Receipts Off - Budget
1947,196861.48824539146,94561.56795283231,37561.193909993286,21546.646301962835,16014.547608030452,79150.72159116353,14609.570161952386,422744.54186133295,406729.9942533025,16014.547608030452
1948,196902.14660012475,98660.05564566437,38238.67211478478,21754.552464129756,16473.92538989395,74988.9821584529,14893.814971927635,423673.4772301934,407199.5518402994,16473.92538989395
1949,160111.51693675408,115224.28610829164,38926.28893633405,21527.339372090584,17398.949564243467,77234.86368695532,14289.788162822444,405786.7438311575,388377.4990304855,17398.949564243467
1950,160493.7705974026,106442.36172467533,44190.54121558442,22737.041953246753,21453.49926233766,76910.69298701298,13762.429963636363,401799.79648831167,380336.11037922074,21453.49926233766
1951,203999.05811088296,133076.92072638604,53547.86527207393,24103.14555954826,29444.71971252567,81614.72310061603,14892.233239219713,487121.3630390144,457676.64332648873,29444.71971252567
1952,257736.88885821833,195844.6052446675,59465.677979924716,26305.143199498118,33160.5347804266,81674.19417816814,15777.549937264743,610498.9161982434,577338.3814178169,33160.5347804266
1953,273028.86754249426,194479.04108087916,62451.59902870307,24934.85398169479,37516.745047008284,90444.933080132,17004.78290268352,637409.223634892,599892.4785878838,37516.745047008284
1954,269546.42032384145,192529.247012842,65767.06376326075,23896.218090452265,41870.84567280849,90739.93467336685,17381.55611390285,635964.221887214,594093.3762144054,41870.84567280849
1955,262969.7423231224,163387.57322966878,71919.43904213964,25439.832100761934,46479.6069413777,83527.9061172446,16923.297154408334,598727.9578665837,552248.350925206,46479.6069413777
1956,290169.6557540838,188229.85001072666,84018.30469827454,26106.975365472434,57920.34417236201,89508.34199025408,20463.685800974592,672389.8382543137,614469.4940819517,57920.34417236201
1957,310571.85273891396,184555.7104695281,87164.1440716149,27970.648612757886,59193.49545885701,91846.26324401234,23297.248470476643,697435.2189945459,638241.723535689,59193.49545885701
1958,294713.85073145403,170374.54900308742,95389.03837031481,27074.564676688697,68314.47369362612,90288.15643592927,25130.96740052515,675896.5619413106,607582.0882476845,68314.47369362612
1959,308768.37046312174,145550.57938250428,98569.75512864493,28817.484288164662,69760.67979416809,88949.91210977701,24562.553722126926,666401.1708061749,596640.4910120068,69760.67979416809
1960,337336.53929356096,178084.528443468,121653.25817137065,33489.23718100389,88164.02099036676,96739.32046645261,32503.284874091605,766325.2165624473,678161.1955720806,88164.02099036676
1961,338871.1408951563,171771.87784404436,134759.85014213255,35503.674856474,99264.3728554707,97223.17797224235,31117.97500696728,773752.219430355,674487.8465748844,99264.3728554707
1962,369229.03562141914,166283.10763552226,138111.47750110182,38696.4928162186,99423.08696562363,101553.98680035258,32417.225242397533,807602.9350815337,708179.8481159101,99423.08696562363
1963,380788.4052665941,172670.27396082698,158467.1257018498,45041.983971708374,113425.14173014145,105575.40176278564,35167.79526659412,852669.0019586507,739243.8602285092,113425.14173014145
1964,384577.9091553456,185532.76012457715,173449.7940074102,44201.543371100255,129248.25063630995,108438.69787896688,37362.42660151426,889345.7930408636,760105.4397680289,129248.25063630995
